,Product Category,MPU/MCU,Document No.,TN-RX *- A160A/E,Rev.,1.00
1,Title,Corrections of the Absolute Maximum Ratings and DC Characteristics Regarding 5 V Tolerance,Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RX64M Group, RX71M Group All lots",Reference Document,See the table in the last page.,,
