,History Table,,
1,Version,Date,Comments
2,A00,19 /Oct / 2016,Initial Schematic
3,A01,02 /May / 2017,1.R7 changed to 1Kohm 2. Xtall Y2 changed to TXC 9HT11-32. 768KDZB-T ( 6pF )
