,Revision,Date,Description
1,1.7,31-May-2022,Update Table 1 (Add AT25SL321) and Table 2 (Add W25X40CL)
2,1.6,24-Jan-2022,Rebranded to Renesas.
3,1.5,17-11-2021,Update Table 1
4,1.4,28-09-2021,Update Table 1 (Add AT25EU0021A)
5,1.3,30-06-2021,Update Hyperlinks in section 1
6,1.2,15-02-2021,Update Hyperlinks in section 2
7,1.1,12-11-2020,Update Table 1
8,1.0,22-10-2020,Initial Release
