,Name,Address,Access size,R/W,Initial value
1,PIDR4,8000 OFDOh,32 bits,R,0000 0004h
2,PIDR5,8000 OFD4h,32 bits,R,0000 0000h
3,PIDR6,8000 0FD8h,32 bits,R,0000 0000h
4,PIDR7,8000 OFDCh,32 bits,R,0000 0000h
5,PIDRO,8000 OFE0h,32 bits,R,0000 0004h
6,PIDR1,8000 OFE4h,32 bits,R,0000 0030h
7,PIDR2,8000 OFE8h,32 bits,R,0000 000Ah
8,PIDR3,8000 OFECh,32 bits,R,0000 0000h
9,CIDRO,8000 OFF0h,32 bits,R,0000 000Dh
10,CIDR1,8000 OFF4h,32 bits,R,0000 00F0h
11,CIDR2,8000 OFF8h,32 bits,R,0000 0005h
12,CIDR3,8000 OFFCh,32 bits,R,0000 00B1h
