,Product Category,MPU/MCU,Document No.,TN-RX *- A0207A/E,Rev.,1.00,
1,Title,Errata to User's Manuals Regarding the Bit Settings for Multi-Function Timer Pulse Unit 3 (MTU3),Information Category,Technical Notification,,,
2,Applicable Product,"RX64M Group, RX65N Group, RX651 Group, RX71M Group",Reference Document,User's Manual: Hardware for applicable products (Refer to the table on the last page for details),,,Lot No.
3,,,,,,,All
