,Product Category,MPU/MCU,Document No.,TN-RX *- A080A/E,Rev.,1.00
1,Title,Changes to description of Timer Output Master Enable Register (TOER),Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RX630 Group, RX63N Group, RX631 Group, RX63T Group, RX210 Group, RX21A Group, All lots RX220 Group, RX111 Group",Reference Document,User's Manual: Hardware for applicable products (see the table at the bottom),,
