,,Family,Group,Related Documents,Rev.,Control Code,Section No. for the ROM
1,,RX,RX610,RX610 Group User's Manual: Hardware,1.10,R01UH0032EJ0110,26
2,,,"RX62N,","RX62N Group, RX621 Group User's Manual: Hardware",1.30,R01UH0033EJ0130,38
3,,,RX621,,,,
4,,,RX62T,RX62T Group User's Manual: Hardware,1.30,R01UH0034EJ0130,31
5,,,RX62G,RX62G Group User's Manual: Hardware,1.00,R01UH0321EJ0100,31
