,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA4T1BB3CFM,PLQP0064KB-C,256KB,4KB,40KB
2,R7FA4T1BB3CFL,PLQP0048KB-B,,,
3,R7FA4T1BB3CFJ,PLQP0032GB-A,,,
4,R7FA4T1BB3CNE,PWQN0048KC-A,,,
5,R7FA4T1BB3CNH,PWQN0032KE-A,,,
6,R7FA4T1B93CFM,PLQP0064KB-C,128KB,4KB,40KB
7,R7FA4T1B93CFL,PLQP0048KB-B,,,
8,R7FA4T1B93CFJ,PLQP0032GB-A,,,
9,R7FA4T1B93CNE,PWQN0048KC-A,,,
10,R7FA4T1B93CNH,PWQN0032KE-A,,,
