,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,FileX_block_media_qspi_LevelX,Supported,,
3,NetX_crypto,Supported,,
4,NetX_wifi,Supported,,
5,USBX_hcdc_acm,Supported,,
6,USBX_hhid,Supported,,
7,USBX_hmsc,Supported,,
8,"USBX_host_hub
:selected:",Supported,,
9,"USBX_paud
:selected:",Supported,,
10,USBX_pcdc_acm,Supported,,
11,USBX_phid,Supported,,
12,USBX_pmsc,Supported,,
13,USBX_pprn,Supported,,
14,quickstart,Supported,,
15,adc,Supported,Supported,
16,adc_gpt_periodic_sampling,Supported,,
17,agt,Supported,Supported,Supported
18,audio_playback_pwm,Supported,,
19,cac,Supported,,
20,can,Supported,,
21,cpp,Supported,,
22,crc,Supported,,
23,dac,Supported,,
24,dmac,Supported,Supported,Supported
25,doc,Supported,,
26,elc,Supported,,
27,flash_hp,Supported,Supported,Supported
28,freertos,Supported,Supported,Supported
29,gpt,Supported,Supported,Supported
30,gpt_input_capture,Supported,,
31,icu,Supported,Supported,Supported
32,iic_master,Supported,Supported,
33,iic_slave,Supported,Supported,Supported
34,iwdt,Supported,,
35,lpm,Supported,Supported,
36,lvd,Supported,,
37,mbed_crypto,Supported,,
38,qspi,Supported,,
