,Product Category,MPU/MCU,Document No.,TN-RX *- A152A/E,Rev.,1.00,
1,Title,Note on mail box register j (MBj) (j=0~31) of CAN module,Information Category,Technical Notification,,,
2,Applicable Product,"RX71M Group, RX64M Group, RX630 Group (With CAN),",Reference Document,See below,,,Lot No.
3,,"RX63N Group (With CAN), RX631 Group (With CAN), RX63T Group (With CAN), RX62T Group (With CAN), All RX62G Group (With CAN), RX62N Group (With CAN), RX621 Group (With CAN)",,,,,
