,Product Category,MPU & MCU,Document No.,TN-RX *- A064A/E,Rev.,1.00,
1,Title,"Note on Setting the PWM Carrier Cycle in Complementary PWM Mode 1 to Complementary PWM Mode 3 for MTU2, MTU2a, or MTU3",Information Category,Technical Notification,,,
2,Applicable Product,"RX62G Group, RX62N Group, RX621 Group, RX62T Group, RX630 Group, RX63N Group, RX631 Group, RX63T Group, RX210 Group, RX220 Group, RX21A Group",Reference Document,User's Manuals: Hardware for applicable products (see the table at the bottom),,,Lot No.
3,,,,,,,All
