,Reference Symbol,Dimension in Millimeters,,
1,,Min.,Nom.,Max.
2,:selected: D,-,13.00,-
3,:selected: E,-,13.00,-
4,:selected: E1,-,11.20,-
5,:selected: D1,-,11.20,-
6,A,-,-,1.40
7,A1,0.35,0.40,0.45
8,b,0.45,0.50,0.55
9,:unselected: e,-,0.80,-
10,aaa,-,-,0.10
11,CCC,-,-,0.10
12,ddd,-,-,0.10
13,eee,-,-,0.15
14,fff,-,-,0.08
15,n,-,176,-
