,,Name,Address,Access size,R/W,Initial value
1,,PID7,0xE00F_FFDC,32 bits,R,0x00000000
2,,PID0,0xE00F_FFE0,32 bits,R,0x00000039
3,,PID1,0xE00F_FFE4,32 bits,R,0x00000030
4,,PID2,0xE00F_FFE8,32 bits,R,0x0000000A
5,,PID3,0xE00F_FFEC,32 bits,R,0x00000000
6,,CID0,0xE00F_FFF0,32 bits,R,0x0000000D
7,,CID1,0xE00F_FFF4,32 bits,R,0x00000010
8,,CID2,0xE00F_FFF8,32 bits,R,0x00000005
9,,CID3,0xE00F_FFFC,32 bits,R,0x000000B1
