,#,FILE NAME,DESCRIPTION
1,1,DA1458x_DA1468x_PLT_v_4.3.0.310.zip,RELEASE PACKAGE
2,2,DA1458x_DA1468x_PLT_Release_Notes_v4.3.doc,RELEASE NOTES
