,Product Category,MPU/MCU,Document No.,TN-RA *- A0091A/E,Rev.,1.00,
1,Title,The correction and the additional specification of CANFD,Information Category,Technical Notification,,,
2,Applicable Product,RA6M5 Group,Reference Document,RA6M5 Group User's Manual : Hardware Rev.1.30,,,Lot No.
3,,,,,,,All
