,Product part number,Orderable part number,Package,Code flash,Data flash,SRAM,Operating temperature
1,R7FA6M2AF2CLK,R7FA6M2AF2CLK#AC1,PTLG0145KA-A,1 MB,32 KB,384 KB,-40 to +85C
2,R7FA6M2AF3CFB,R7FA6M2AF3CFB#AA1,PLQP0144KA-B,,,,-40 to +105C
3,R7FA6M2AF3CFP,R7FA6M2AF3CFP#AA1,PLQP0100KB-B,,,,-40 to +105C
4,R7FA6M2AD2CLK,R7FA6M2AD2CLK#AC1,PTLG0145KA-A,512 KB,,,-40 to +85degC
5,R7FA6M2AD3CFB,R7FA6M2AD3CFB#AA1,PLQP0144KA-B,,,,-40 to +105C
6,R7FA6M2AD3CFP,R7FA6M2AD3CFP#AA1,PLQP0100KB-B,,,,-40 to +105C
