,Product Category,MPU/MCU,Document No.,TN-RX *- A178A/E,Rev.,1.00
1,Title,"Added junction temperature, recommended operational conditions, and thermal resistance value (reference value)",Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RX64M Group, RX71M Group All",Reference Document,RX64M Group User's Manual Hardware Rev1.10 (R01UH0377EJ0110) RX71M Group User's Manual Hardware Rev1.00 (R01UH0493EJ0100),,
