,Product Category,MPU/MCU,Document No.,TN-RL *- A081A/E,Rev.,1.00
1,Title,Restriction on MCU Activation when Power is Supplied,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RL78/L1A Group All lots,Reference Document,RL78/L1A User's Manual: Hardware Rev. 1.00 R01UH0636EJ0100 (Aug. 2016),,
