,Product Category,MPU/MCU,Document No.,TN-RA *- A0058A/E,Rev.,1.00
1,Title,"RA6M2 Group, RA6M3 Group, correction of EXENB bit in the CSnCR register",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA6M2 Group RA6M3 Group All,Reference Document,RA6M2 Group User's Manual Hardware Rev.1.10 RA6M3 Group User's Manual Hardware Rev.1.10,,
