,Product Category,MPU/MCU,Document No.,TN-RA *- A0054A/E,Rev.,1.00,
1,Title,"RA2L1 Group, RA2E1 Group, RA2E2 Group, Addition of register definition for Flash",Information Category,Technical Notification,,,
2,Applicable Product,RA2L1 Group RA2E1 Group RA2E2 Group,Reference Document,RA2L1 Group User's Manual Hardware Rev1.10 RA2E1 Group User's Manual Hardware Rev1.10 RA2E2 Group User's Manual Hardware Rev1.00,,,Lot No.
3,,,,,,,All
