,Product Category,MPU/MCU,Document No.,TN-RX *- A022A/E,Rev.,1.00,
1,Title,Addition of Specifications regarding Sub-clock Oscillator Drive Ability Control Bit,Information Category,Technical Notification,,,
2,Applicable Product,"RX63N Group, RX631 Group",Reference Document,"RX63N Group, RX631 Group User's Manual: Hardware Rev.1.00 (R01UH0041EJ0100)",,,Lot No. All
