,Product Category,User Development Environment,Document No.,TN-CSX-058A/EA,Rev.,1.00,
1,Title,Problem on the Integrated Development Environment (HEW3) (1),Information Category,Usage Limitation,,,
2,Applicable Product,All products that include HEW3,Reference Document,High-performance Embedded Workshop 3 User's Manual Revision 1.0,,,Lot No.
3,,,,,,,HEW 3.0 (release 21) and 3.01 (release 1)
