,VBAT_IN,,
1,,2,
2,P0_10,4,
3,PO_11,6,
4,,8,
5,P0_8,10,
6,P0_7,12,
7,,14,
8,,,16
9,P0_26,18,
10,P0_16,20,
11,P0_18,22,
12,,24,
13,P0_17,26,
14,P0_27,28,
15,P0_28,30,
16,PO 6,32,
17,P0_2,34,
18,,36,
19,P0_25,38,
20,P0_23x,40,
21,P0_22x,42,
22,,44,
23,HDRVP,46,
24,HDRVM,48,
25,,50,
