,Revision,Date,Description
1,6.0.12.1020.3,03-Feb-2022,Rebranded to Renesas.
2,6.0.12.1020.2,9-Dec-2019,Improves radio calibration on DA14531 release. GA
3,o This is the second release of this document.,,
4,6.0.12.1020,31-Oct-2019,Release supporting final DA14531 silicon and DA14585/6. GA
5,o This is the first release of this document.,,
