,#,File Name,Description
1,1,CodeLess_v_5.380.5.4.0.zip,RELEASE FILE
2,2,DA1458x-Codeless-SW-Release-Notes-v_5.380.5.4.0.pdf,RELEASE NOTES
3,3,codeless_580_v5.380.5.4.0.hex,RELEASE FILE
