,Name,Address,Access size,R/W,Initial value
1,PID4,4001 BFDOh,32 bits,R,0000 0004h
2,PID5,4001 BFD4h,32 bits,R,0000 0000h
3,PID6,4001 BFD8h,32 bits,R,0000 0000h
4,PID7,4001 BFDCh,32 bits,R,0000 0000h
5,PIDO,4001 BFEOh,32 bits,R,0000 0005h
6,PID1,4001 BFE4h,32 bits,R,0000 0030h
7,PID2,4001 BFE8h,32 bits,R,0000 001Ah
8,PID3,4001 BFECh,32 bits,R,0000 0000h
9,CIDO,4001 BFFOh,32 bits,R,0000 000Dh
10,CID1,4001 BFF4h,32 bits,R,0000 00F0h
11,CID2,4001 BFF8h,32 bits,R,0000 0005h
12,CID3,4001 BFFCh,32 bits,R,0000 00B1h
