,Product Category,MPU/MCU,Document No.,TN-RA *- A0009A/E,Rev.,1.00
1,Title,"RA family, Addition of register definition for Flash",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA2A1 Group RA4M1 Group RA4W1 Group RA6M1 Group RA6M2 Group All RA6M3 Group RA6T1 Group,Reference Document,RA2A1 Group User's Manual Hardware Rev.1.00 RA4M1 Group User's Manual Hardware Rev.1.00 RA4W1 Group User's Manual Hardware Rev.1.00 RA6M1 Group User's Manual Hardware Rev.1.00 RA6M2 Group User's Manual Hardware Rev.1.00 RA6M3 Group User's Manual Hardware Rev.1.00 RA6T1 Group User's Manual Hardware Rev.1.00,,
