,Product Category,MPU/MCU,Document No.,TN-RA *- A0077A/E,Rev.,1.00
1,Title,"RA4M3 Group, RA6M4 Group, RA6M5 Group, adding 144 pin BGA packages with operating temperature -40 to +105 C support",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA4M3 Group RA6M4 Group RA6M5 Group All,Reference Document,RA4M3 Group User's Manual Hardware Rev.1.30 RA6M4 Group User's Manual Hardware Rev.1.20 RA6M5 Group User's Manual Hardware Rev.1.20,,
