,Product Category,MPU/MCU,Document No.,TN-RA *- A0093A/E,Rev.,1.00,
1,Title,Correction for the pin's name of power supply & power supply ground about 12-Bit A/D Converter,Information Category,Technical Notification,,,
2,Applicable Product,RA Family RA2E2 Group,Reference Document,Renesas RA2E2 Group User's Manual: Hardware R01UH0919EJ0120 Rev.1.20,,,Lot No. All Lots
