,Product Category,MPU/MCU,Document No.,TN-RX *- A0259A/E,Rev.,1.00,
1,Title,Errata to the User's Manual Regarding BGO Function in Linear Mode for Products with 2 Mbytes of Code Flash Memory,Information Category,Technical Notification,,,
2,Applicable Product,"RX72M Group, RX72N Group, RX66N Group",Reference Document,User's Manual: Hardware for applicable products (Refer to the table on the last page for details),,,Lot No.
3,,,,,,,All
