,Product Category,MPU/MCU,Document No.,TN-RX *- A013A/E,Rev.,1.00,
1,Title,I 2 C bus interface (RIIC) Precautions for stop condition issuance timing when receiving master,Information Category,Technical Notification,,,
2,Applicable Product,RX610 group,Reference Document,RX610 group,,,Lot No.
3,,"RX62N, RX621 group RX62T group RX630 group All lots RX63N, RX631 group",,"RX62N, RX621 group",,,
4,,,,"RX62T group RX630 group RX63N, RX631 group User's Manual, Hardware section",,,
