,Product Category,MPU/MCU,Document No.,TN-RA *- A0015A/E,Rev.,1.00,
1,Title,"RA4M3 Group, RA6M4 Group, AD conversion time for interleaving enhancement",Information Category,Technical Notification,,,
2,Applicable Product,RA4M3 Group RA6M4 Group,Reference Document,RA4M3 Group User's Manual Hardware Rev.1.20 RA6M4 Group User's Manual Hardware Rev.1.10,,,Lot No. All
