,Function,Part numbers,,,,
1,,R7FA6T1AD3CFP,R7FA6T1AB3CFP,R7FA6T1AD3CFM,R7FA6T1AB3CFM,
2,I/O ports,67,,35,,I/O pins
3,,9,,5,,Input pins
4,,68,,36,,Pull-up resistors
5,,67,,35,,N-ch open-drain outputs
6,,14,,9,,5-V tolerance
