,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,FileX_block_media_sdmmc,Supported,,
3,"FileX_exFAT_block_media_sdmmc
:selected:",Supported,,
4,"NetX_crypto
:selected:",Supported,,
5,NetX_dhcpv4_client,Supported,,
6,NetX_dhcpv4_server,Supported,,
7,"NetX_dhcpv6_client
:selected:",Supported,,
8,"NetX_dhcpv6_server
:selected:",Supported,,
9,"NetX_ftp_client
:selected:",Supported,,
10,"NetX_ftp_server
:selected:",Supported,,
11,"NetX_https_client
:selected:",Supported,,
12,"NetX_smtp_client
:selected:",Supported,,
13,"NetX_snmp_agent
:selected:",Supported,,
14,"NetX_sntp_client
:selected:",Supported,,
15,"NetX_wifi
:selected:",Supported,,
16,USBX_hcdc_acm,Supported,,
17,USBX_hhid,Supported,,
18,USBX_hmsc,Supported,,
19,USBX_paud,Supported,,
20,USBX_pcdc_acm,Supported,,
21,USBX_phid,Supported,,
22,USBX_pmsc,Supported,,
23,quickstart,Supported,,
24,adc,Supported,,
25,adc_gpt_periodic_sampling,Supported,,
26,adc_llvm,Supported,,
27,agt,Supported,Supported,Supported
28,audio_playback_pwm,Supported,,
29,aws_https_client,Supported,,
30,baremetal,Supported,,
31,cac,Supported,,
32,can_fd,Supported,,
33,cpp,Supported,,
34,cpp_llvm,Supported,,
35,crc,Supported,,
36,dac,Supported,,
37,dac_agt_periodic_signal_generator,Supported,,
38,dmac,Supported,Supported,Supported
