,Product Category,MPU/MCU,Document No.,TN-RA *- A0027A/E,Rev.,1.00,
1,Title,"RA6M5 Group, addition of pin list and package dimensions for 176 BGA",Information Category,Technical Notification,,,
2,Applicable Product,RA6M5 Group,Reference Document,RA6M5 Group User's Manual Hardware Rev.1.10,,,Lot No. All
