,Product Category,MPU/MCU,Document No.,TN-RX *- A172A/E,Rev.,1.00
1,Title,Note on Using the DMA/DTC Transfer in the USB 2.0 Host/Function Module (USBA),Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RX71M Group, RX64M Group All",Reference Document,RX71M Group User's Manual: Hardware Rev.1.00 (R01UH0493EJ0100) RX64M Group User's Manual: Hardware Rev.1.10 (R01UH0377EJ0110),,
