,Product Category,MPU/MCU,Document No.,TN-RA *- A0004A/E,Rev.,1.00,
1,Title,Errata for User's Manual: Hardware for SCE5,Information Category,Technical Notification,,,
2,Applicable Product,RA4M1 Group,Reference Document,RA4M1 Group User's Manual Hardware Rev.1.00,,,Lot No. All
