,Product Category,MPU/MCU,Document No.,TN-RA *- A0100A/E,Rev.,1.00
1,Title,The restriction of disconnecting OCD emulator,Information Category,Technical Notification,,
2,Applicable Product,"Each Group of Lot No. RA6M1, RA6M2, RA6M3, RA6M4, RA6M5, RA6E1, RA6E2, RA6T1, RA6T2, RA6T3, RA4M1, RA4M2, RA4M3, RA4E1, RA4E2, All RA4T1, RA4W1",Reference Document,Refer table at the end of this document,,
