,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA4E2B93CFM,PLQP0064KB-C,128KB,4KB,40KB
2,R7FA4E2B93CNE,PWQN0048KC-A,,,
3,R7FA4E2B93CNH,PWQN0032KE-A,,,
