,Package,Enclosure Environment,PWB Environment,0 ja[degC/W]
1,176-pin LQFP PLQP0176KB-C,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),32.3
2,144-pin LQFP PLQP0144KA-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),33.0
3,100-pin LQFP PLQP0100KB-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),35.0
