,Package,Enclosure Environment,PWB Environment,0 ja[degC/W]
1,176-pin BGA PLBG0176GE-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),32.4
2,176-pin LQFP PLQP0176KB-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),44.5
3,145-pin LGA PTLG0145KA-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),25.9
4,144-pin LQFP PLQP0144KA-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),45.7
5,100-pin LQFP PLQP0100KB-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),46.8
