,Address,Module Symbol,Register Name,Register Symbol,Number of Bits,Access Size,Number of Access States,Module Name,Reference Page,Remarks,
1,,,,,,,ICLK >= PCLK,,,,ICLK < PCLK
2,0008 C04Dh,PORTD,Port Input Data Register,PIDR,8,8,"2, 3 PCLKB",I/O Ports,506,Alot present in- versions with 64-OF 48 pins.,2 ICLK
3,0008 C06Eh,PORTE,Port Mode Register,PMR,8,8,"2, 3 PCLKB",,507,Net present in- versions with 64 or 48-pins=,2 ICLK
4,0008 C080h,PORT0,Open Drain Control Register 0,ODR0,8,8,"2, 3 PCLKB",,508,"Not present in versions with 120, 112, 100, 64 or 48 pins.",2 ICLK
5,0008 C085h,PORT2,Open Drain Control Register 1,ODR1,8,8,"2, 3 PCLKB",,509,Not present in versions with 112 or 100 pins.,2 ICLK
