,TP46 FIDUCIAL,TP24 GND O,TP25 GND,TP26 GND,TP27 GND,TP28 GND,TP29 GND
1,,,:selected:,"O
:selected:",:selected:,:selected:,:selected:
2,TP47 FIDUCIAL,,,,,,
