,Help,
1,,Welcome
2,:unselected:,Help Contents
3,,Search
4,,Dynamic Help
5,,Key Assist ... Ctrl+Shift+L
6,,Tips and Tricks ...
7,,Add Renesas Toolchains
8,,Update Renesas Components
9,,Cheat Sheets ...
10,,Check for Updates
11,:unselected:,Install New Software ...
12,:unselected:,About e2Studio
