,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA8D1AHECBD,PLBG0224GD-A,2MB,12KB,1MB
2,R7FA8D1BHECBD,,,,
3,R7FA8D1AHECFC,PLQP0176KJ-A,,,
4,R7FA8D1BHECFC,,,,
5,R7FA8D1AFECBD,PLBG0224GD-A,1MB,,
6,R7FA8D1BFECBD,,,,
7,R7FA8D1AFECFC,PLQP0176KJ-A,,,
8,R7FA8D1BFECFC,,,,
