,Product Category,MPU/MCU,Document No.,TN-RA *- A0080A/E,Rev.,1.00
1,Title,"RA6E2 Group, RA4E2 Group, correction of access size of JBRDR and JBTDR registers.",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA6E2 Group RA4E2 Group All,Reference,RA6E2 Group User's Manual Hardware Rev.1.10 RA4E2 Group User's Manual Hardware Rev.1.10,,
3,,,Document,,,
