,Product Category,MPU/MCU,Document No.,TN-RX *- A117A/E,Rev.,1.00
1,Title,Notes on using the 12-Bit A/D Converter (S12ADB) in extended operation in double trigger mode,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RX63T Group All lots,Reference Document,RX63T Group User's Manual: Hardware Rev.2.10 (R01UH0238EJ0210),,
