,Product Group,Reference Document,Version
1,RA2L1,"Renesas RA2L1 Group User's Manual: Hardware R01UH0853EJ0120 (May 20, 2022)",Rev.1.20
2,RA2E1,"Renesas RA2E1 Group User's Manual: Hardware R01UH0852EJ0120 (Feb 4,2022)",Rev.1.20
3,RA2E2,"Renesas RA2E2 Group User's Manual: Hardware R01UH0919EJ0110 (Mar 31, 2022)",Rev.1.10
4,RA2A1,"Renesas RA2A1 Group User's Manual: Hardware R01UH0888EJ0100 (Oct 8, 2019)",Rev.1.00
