,Name,Location
1,e2 studio 3 Update Site,http://tool-support.renesas.com/e2studio/e2studio3/
2,e2 studio 3 CDT Update Site,http://tool-support.renesas.com/e2studio/e2studio3/cdt/
3,(Required only if CDT already installed),
