,Product Category,MPU/MCU,Document No.,TN-RA *- A0059A/E,Rev.,1.00,
1,Title,RA6T2 Group Setting Value of ADDOPCRn.SIGNSEL for Self-diagnosis,Information Category,Technical Notification,,,
2,Applicable Product,RA6T2 Group,Reference Document,RA6T2 Group User's Manual : Hardware Rev.1.20,,,Lot No. All
