,Revision,Date,Description
1,1.1,22-Feb-2022,"Updated logo, disclaimer, copyright."
2,1.0,01-Nov-2019,Code C version
3,- Updated issues table with numbers - Various corrections,,
4,0.1,11-Jul-2019,"Clarifications, description improvements"
5,- Errata in ES2 version,,
