,Product Category,MPU/MCU,Document No.,TN-RA *- A0062A/E,Rev.,1.00
1,Title,Correction for CoreSight ROM Table in RA2L1/RA2E1/RA2E2 User's Manual,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA2L1/RA2E1/RA2E2 Group All,Reference Document,Renesas RA2L1 Group User's Manual : Hardware Rev1.20 Renesas RA2E1 Group User's Manual : Hardware Rev1.20 Renesas RA2E2 Group User's Manual : Hardware Rev.1.10,,
