,Rev.,Date,Description,
1,,,Page,Summary
2,1.00,Oct.06.20,-,First edition issued.
3,2.00,Dec.02.20,Page 2-3,"Added ""New touch interface is now supported"" and ""CapTouch Pad Monitor RA (QE) view added"" to 1.3 New Functions."
4,,,Page 3,Added RA2L1 and RA4M3 to 1.5 Supported Microcontrollers.
5,,,Page 3,Update the version of 1.6 Supported FSP.
6,,,Page 6,Added a new note to 3.1Usage Considerations.
7,,,Page 6,Added new restrictions to 3.2 Functional Restrictions.
