,Product Category,MPU/MCU,Document No.,TN-RX *- A0262A/E,Rev.,1.00,
1,Title,Addition of Specifications Regarding the Capacitive Touch Sensing Unit (CTSU),Information Category,Technical Notification,,,
2,Applicable Product,"RX113 Group, RX130 Group, RX230 Group, RX231 Group, RX23W Group, RX671 Group",Reference Document,User's Manual: Hardware for applicable products (see the table on the last page),,,Lot No.
3,,,,,,,All
