,Rev.,Date,Description,
1,,,Page,Summary
2,1.00,"Sep. 07, 2021",All,First revision issued.
3,1.10,"Oct. 21, 2021","1,2 2","Added the information of RAGE1, RA4E1 and RA2E2. Changed Note 1 and 2 to more understandable description."
4,1.20,"Jan. 06, 2022","1,2",Added the information of RA6T2.
5,1.30,"Aug.07, 2023","1,2","Added the information of RAGE2, RA4E2, RA6T3, RA4T1. Changed ""5-V tolerant"" to ""5V-tolerant""."
