,Product part number,Package code,Code flash,Data flash,SRAM,Operating temperature
1,R7FA6T1AD3CFP,PLQP0100KB-B,512KB,8KB,64KB,-40 to +105degC
2,R7FA6T1AD3CFM,PLQP0064KB-C,,,,
3,R7FA6T1AB3CFP,PLQP0100KB-B,256KB,,,
4,R7FA6T1AB3CFM,PLQP0064KB-C,,,,
