,VERSION,RELEASE MASTER,DATE
1,3.150.2,Konstantinos Dagres,14 Jan 2015
2,5.150.2,Konstantinos Dagres,08 Feb 2015
3,1.1,Rebranded to Renesas,03 Feb 2022
