,Name,Address,Access size,R/W,Initial value
1,DEVTYPE,E00F FFCCh,32 bits,R,0000 0001h
2,PID4,E00F FFDOh,32 bits,R,0000 0004h
3,PID5,E00F FFD4h,32 bits,R,0000 0000h
4,PID6,E00F FFD8h,32 bits,R,0000 0000h
5,PID7,E00F FFDCh,32 bits,R,0000 0000h
6,PIDO,E00F FFEOh,32 bits,R,0000 001Bh
7,PID1,E00F FFE4h,32 bits,R,0000 0030h
8,PID2,E00F FFE8h,32 bits,R,0000 000Ah
9,PID3,E00F FFECh,32 bits,R,0000 0000h
10,CIDO,E00F FFFOh,32 bits,R,0000 000Dh
11,CID1,E00F FFF4h,32 bits,R,0000 0010h
12,CID2,E00F FFF8h,32 bits,R,0000 0005h
13,CID3,E00F FFFCh,32 bits,R,0000 00B1h
