,Parameter,Symbol,Typ,Max,Unit,Test conditions,
1,Permissible junction temperature,Tj,-,125,C,High-speed mode Low-speed mode Subosc-speed mode,100-pin LQFP 64-pin LQFP 48-pin LQFP
2,,,,115,,,48-pin QFN
