,,Description,,
1,Rev.,Page,Date,Summary
2,1.00,-,Oct.02.20,First release document.
3,1.01,-,Oct.12.20,"Updated section 2, List of Example Projects Supported on Different Toolchains in the Bundle."
4,1.02,-,Oct.23.20,"Updated supported for Arm and Keil, added VEEPROM."
5,1.03,-,Nov.02.20,Added support for FSP v2.1.0.
6,1.04,-,Dec.01.20,Added support for FSP v2.2.0.
7,1.05,-,Feb.02.21,Added support for FSP v2.3.0.
8,1.06,-,Mar.10.21,"Added support for USB COMPOSITE, USB HVND, and USB PVND."
9,1.07,-,Apr.06.21,Added support for FSP v2.4.0.
10,1.08,-,May.03.21,Added support for FSP v3.0.0.
11,1.09,-,May.13.21,Added support for FSP v 3.0.0 (2).
12,1.10,-,May.27.21,Added support for FSP v 3.0.0 (3).
13,1.11,-,Jun.16.21,Added support for FSP v 3.0.0 (4).
14,1.12,-,Jul.12.21,Added support for FSP v 3.1.0 (1).
15,1.13,-,Jul.26.21,Added support for FSP v3.1.0 (2).
16,1.14,-,Aug.30.21,Added support for FSP v3.1.0 (3).
17,1.15,-,Sep.10.21,Added support for FSP v3.2.0.
18,1.16,-,Sep.29.21,Added support for FSP v3.3.0 (2).
19,1.17,-,Oct.20.21,Added support for FSP v3.4.0 (2).
20,1.18,-,Dec.20.21,Added support for FSP v3.5.0 (2).
21,1.19,-,Mar.21.22,Added support for FSP v3.6.0.
22,1.20,-,Apr.11.22,Added support for FSP v3.6.0 (2).
23,1.21,-,Jul.18.22,Added support for FSP v3.8.0 (1).
24,1.22,-,Aug.11.22,Added support for FSP v3.8.0 (2).
25,1.23,-,Sep.20.22,Added support for FSP v4.0.0.
26,1.24,-,Oct.17.22,Added support for FSP v4.0.0 (2).
27,1.25,-,Nov.14.22,Added support for FSP v4.1.0 (1).
28,1.26,-,Dec.01.22,Added support for FSP v4.1.0 (2).
29,1.27,-,Jan.10.23,Added support for FSP v4.2.0 (1).
30,1.28,-,Mar.24.23,Added support for FSP v4.2.0 (2).
31,1.29,-,Apr.28.23,Added support for FSP v4.4.0 (1).
32,1.30,-,Jun.01.23,Added support for FSP v4.4.0 (2).
33,1.31,-,Jul.17.23,Added support for FSP v4.5.0 (1).
34,1.32,-,Sep.18.23,Added support for FSP 4.5.0 (2).
35,1.33,-,Sep.26.23,Added support for FSP v4.6.0 (1).
36,1.34,-,Oct.23.23,Added support for FSP v4.6.0 (2).
37,1.35,-,Nov.06.23,Added support for FSP v5.0.0 (2).
38,1.36,-,Dec.05.23,Added support for FSP v5.0.0 (3).
39,1.37,-,Dec.19.23,"Added support for FSP v5.1.0 (2).
:selected:"
