,Part number,Package,Pitch(mm),Size (mm),Shipment,Pack Quantity
1,DA14691-00000HQ2,VFBGA86,0.55,6 * 6,Reel,4k
2,DA14695-00000HQ2,VFBGA86,0.55,6 * 6,Reel,4k
3,DA14697-00000HQ2,VFBGA100,0.475,6 * 6,Reel,5k
4,DA14699-00000HQ2,VFBGA100,0.475,6 * 6,Reel,5k
