,Part number,Package,Pitch(mm),Size (mm),Shipment,Pack Quantity
1,DA14585-00000AT2,QFN40,0.4,5 * 5 * 0.9,Reel,100/1000/5000
2,DA14585-00000VV2,WL-CSP34,0.4,2.40 x 2.66 x 0.39,Reel,100/1000/7500
