,,Description,,
1,Rev.,Page,Date,Summary
2,1.00,"-
:unselected:",Dec.07.20,First release document.
3,1.01,-,Feb.02.21,Added support for FSP v2.3.0.
4,1.02,-,Mar.10.21,"Added support for USB COMPOSITE, USB HCDC, USB PVND, USB HVND."
5,1.03,-,Apr.06.21,Added support for FSP v2.4.0.
6,1.04,-,May.03.21,Added support for FSP v3.0.0.
7,1.05,-,May.13.21,Added support for FSP v3.0.0 (2).
8,1.06,-,Jun.16.21,Added support for FSP v3.0.0 (4).
9,1.07,-,Jul.12.21,Added support for FSP v3.1.0 (1).
10,1.08,-,Jul.26.21,Added support for FSP v3.1.0 (2).
11,1.09,-,Aug.20.21,Added support for FSP v3.1.0 (3).
12,1.10,-,Sep.10.21,Added support for FSP v3.2.0.
13,1.11,-,Sep.29.21,Added support for FSP v3.3.0 (2).
14,1.12,-,Oct.20.21,Added support for FSP v3.4.0 (2).
15,1.13,-,Dec.20.21,Added support for FSP v3.5.0 (2).
16,1.14,-,Mar.21.22,Added support for FSP v3.6.0.
17,1.15,-,Apr.11.22,Added support for FSP v3.6.0 (2).
18,1.16,-,Jul.18.22,Added support for FSP v3.8.0 (1).
19,1.17,-,Aug.11.22,Added support for FSP v3.8.0 (2).
20,1.18,-,Sep.20.22,Added support for FSP v4.0.0.
21,1.19,-,Oct.17.22,Added support for FSP v4.0.0 (2).
22,1.20,-,Nov.14.22,Added support for FSP v4.1.0 (1).
23,1.21,-,Dec.01.22,Added support for FSP v4.1.0 (2).
24,1.22,-,Jan.10.22,Added support for FSP v4.2.0 (1).
25,1.23,-,Mar.24.23,Added support for FSP v4.3.0 (1).
26,1.24,-,Apr.28.23,Added support for FSP v4.4.0 (1).
27,1.25,-,Jun.01.23,Added support for FSP v4.4.0 (2).
28,1.26,-,Jul.17.23,Added support for FSP v4.5.0 (1).
29,1.27,-,Sep.18.23,Added support for FSP 4.5.0 (2).
30,1.28,-,Sep.26.23,Added support for FSP v4.6.0 (1).
31,1.29,-,Oct.23.23,Added support for FSP v4.6.0 (2).
32,1.30,-,Nov.06.23,"Added support for FSP v5.0.0 (2).
:selected:"
33,1.31,-,Dec.05.23,Added support for FSP v5.0.0 (3).
34,1.32,-,Dec.19.23,"Added support for FSP v5.1.0 (2).
:selected:"
