,Product Category,MPU/MCU,,Document No.,TN-RA *- A0035A/E,Rev.,1.00
1,Title,"RA6M4 Group, RA6M5 Group, correction of Octa Serial Peripheral Interface (OSPI)",,Information Category,Technical Notification,,
2,Applicable Product,RA6M4 Group RA6M5 Group,Lot No. All,Reference Document,RA6M4 Group User's Manual Hardware Rev.1.10 RA6M5 Group User's Manual Hardware Rev.1.10,,
